1,470,
2,630,
4,1020,
8,1610,
16,3100,
32,10750,
64,15010,
128,50860,
256,105490,
512,200090,
1,460,
2,570,
4,890,
8,1570,
16,2950,
32,6830,
64,14730,
128,35360,
1,400,
2,600,
4,850,
8,1620,
16,2890,
32,6390,
64,14570,
128,35830,
1,430,
2,550,
4,960,
8,1600,
16,2810,
32,6450,
64,14310,
128,36390,
1,460,
2,530,
4,930,
8,1610,
16,2820,
32,6300,
64,14430,
128,35620,
1,400,
2,620,
4,900,
8,1580,
16,2870,
32,6310,
64,14770,
128,34220,
256,81620,
512,257410,
1024,531520,
2048,1092770,
4096,13886810,
8192,52411430,
16384,111538490,
